Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Bennie-Boatwright,3,1,68.75,114.15,100.7,242,2017,19,18,27.6,0.428,2.47,0.364,3.58,0.907,1.53,3,1.68,0.42,0.37,2.11,1.58,15.11,1,0,0.226,1.07,0.27,0.37,13,6,0.684,1.91,0.38,2.29,0.606,0.545,25.8,169.89,1.66,1.43,122.1,108.9,20.85,82,220,81,3,21.88364134,Prospect,NA,NA,NA,NA
Andrew-Rowsey,1,1,69.52,119.24,105.56,68,2018,35,32,32.7,0.42,3.57,0.415,5,0.902,0.4,2.6,4.83,0.91,0.2,2.37,2.83,20.46,2,0,0.381,1.71,0.32,0.39,21,14,0.6,4.81,0.4,5.22,0.61,0.546,30.37,173.75,1.19,1.45,120.9,113.2,22.78,70,180,72.5,4,23.95345654,Prospect,NA,NA,NA,NA
Bogdan-Bliznyuk,2,2,66.54,107.3,104.63,78,2018,35,35,35.1,0.528,1.29,0.398,4.74,0.902,0.94,5.86,3.91,0.83,0.29,2.37,3.4,21.17,6,0,0.429,1.15,0.24,0.37,20,15,0.571,4.46,1.6,6.06,0.629,0.573,30.23,182.83,2.28,1.48,116.5,103.3,24.57,78,215,79.5,4,23.17043121,Prospect,NA,NA,NA,NA
Cassius-Winston,1,1,67.04,119.19,93.77,100,2018,35,34,28.1,0.507,2.14,0.497,2.31,0.9,0.2,3.17,6.89,0.66,0.06,1.97,2.49,12.63,5,0,0.387,2.77,0.26,0.32,30,5,0.857,4.28,1.7,5.98,0.681,0.64,21.01,190.38,7.68,1.57,131.3,98.8,22.05,72,185,76,2,20.25462012,Prospect,NA,NA,NA,NA
Thomas-Welsh,3,1,72.58,124.05,100.42,241,2017,32,32,25.1,0.585,0.03,1,1.31,0.894,2.19,6.47,1,0.34,1.34,2.53,0.44,10.78,9,0,0.171,2.29,0.79,0.18,27,5,0.844,2.8,1.39,4.19,0.615,0.587,17.52,247.89,0.86,1.34,134.3,98.3,22.44,84,255,84,4,22.32443532,Prospect,NA,NA,NA,NA
Devon-Hall,1,1,59.39,115.18,85.65,37,2018,34,34,32.1,0.454,1.68,0.432,2.24,0.894,0.35,3.85,3.06,0.85,0.15,1.41,1.03,11.68,0,0,0.278,2.97,0.83,0.29,31,3,0.912,3.33,2.64,5.97,0.599,0.552,19.54,177.95,3.64,1.36,124.6,91.5,19.25,77,211,81,5,22.90212183,Prospect,NA,NA,NA,NA
Jonathan-Stark,1,2,67.2,112.85,100.66,230,2018,32,32,36.4,0.451,3.44,0.399,4.16,0.893,0.38,2.28,3.94,1.34,0.19,1.75,2.44,21.41,0,0,0.399,1.62,0.55,0.3,26,6,0.812,4.75,1.79,6.55,0.611,0.563,27.92,174.22,0.53,1.4,123.7,100.7,22.55,72,180,77,4,23.02532512,Prospect,NA,NA,NA,NA
Markus-Howard,1,1,70.1,120.77,104.19,68,2017,31,26,22,0.506,2.65,0.547,1.81,0.889,0.29,1.94,2.26,0.84,0.06,2.55,2.03,13.23,0,0,0.231,1.11,0.41,0.23,18,13,0.581,2.44,0.52,2.96,0.686,0.658,26.67,194.11,2.36,1.52,120.4,108.4,21.79,71,175,72,2,19.24709103,Prospect,NA,NA,NA,NA
Kevaughn-Allen,1,1,68.99,116.95,89.45,256,2017,36,36,28.6,0.439,2.17,0.371,2.53,0.883,0.22,2.17,1.47,1.25,0.28,1.56,1.28,14.03,0,0,0.232,1.15,0.98,0.27,27,9,0.75,2.89,1.95,4.83,0.585,0.54,22.91,169.36,1.04,1.32,118.9,96.7,18.63,74,193,77,3,22.64202601,Prospect,NA,NA,NA,NA
Tyler-Nelson,1,2,70.5,102.06,106.43,165,2018,33,33,36.5,0.42,3.15,0.353,5.09,0.88,0.55,3.64,3.33,1.36,0.09,1.67,2.48,22.18,2,0,0.386,1.34,0.55,0.35,17,16,0.515,3.52,1.17,4.69,0.574,0.516,29.46,165.26,0.7,1.34,112.9,106.6,20.84,75,180,76,4,22.81177276,Prospect,NA,NA,NA,NA
