Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER,Role
Gordon-Hayward,2,2,62.78,110.31,94.53,145,2009,32,32,32.7,0.477,2.16,0.448,3.16,0.815,1.44,5.03,1.97,1.5,0.94,2,1.66,13.12,3,0,0.267,1.19,0.91,0.47,26,6,0.812,3.83,2.82,6.65,0.654,0.609,19.59,173.97,1.13,1.6,128,87.9,23.58,80,225,79.75,2,20.19164956,NBA,10.11,3.82,13.93,36.89,2
Bradley-Beal,1,1,64.24,120.43,97.96,256,2012,37,37,34.3,0.444,1.7,0.337,3.59,0.769,1.35,5.38,2.24,1.38,0.81,2.05,2.14,14.76,6,0,0.264,1.05,0.65,0.44,26,11,0.703,4.04,1.97,6.01,0.573,0.524,22.96,154.98,1.95,1.39,115.2,95.5,21.05,77,207,80,1,18.92676249,NBA,8.59,3.74,12.33,34.14,2
Carmelo-Anthony,2,1,71.03,114.41,91.13,382,2003,35,35,36.4,0.453,1.6,0.337,4.8,0.706,2.89,6.86,2.2,1.49,0.86,2.2,2.2,22.23,21,0,0.347,1,0.68,0.39,30,5,0.857,4.77,2.79,7.56,0.537,0.498,29.3,149.58,1.87,1.27,116.8,92.5,24.99,80,240,84,1,19.00616016,NBA,11.91,5.37,17.27,42.9,2
Kyle-Korver,2,2,68.43,112.4,94.86,198,2003,34,34,31.8,0.468,3.79,0.481,3.21,0.908,1.35,5.03,3.06,1.47,0.68,2.62,2,17.76,6,0,0.295,1.53,0.74,0.31,29,5,0.853,5.34,2.5,7.84,0.674,0.633,23.81,185.77,0.12,1.54,132.6,91.3,26.85,79,212,81.5,4,22.20670773,NBA,6.18,4.91,11.09,26.82,3
Jae-Crowder,2,1,70.03,111.48,91.26,68,2012,35,35,33,0.498,1.74,0.345,3.4,0.735,2,6.43,2.11,2.49,1,2.66,1.26,17.54,14,0,0.317,1.68,1.98,0.37,27,8,0.771,4.92,3.02,7.94,0.598,0.568,23.4,157.69,0.44,1.41,125.8,85,27.67,78,235,81.25,2,21.90554415,NBA,3.54,3.8,7.33,28.29,4
Nerlens-Noel,3,1,65.35,111.38,98.13,258,2013,24,24,31.9,0.59,0,0,2.29,0.529,2.71,6.75,1.58,2.08,4.42,2.58,1.88,10.46,5,0,0.21,0.84,1.11,0.63,17,7,0.708,1.67,2.61,4.28,0.583,0.59,17.06,111.92,2.49,1.51,113.1,78.5,24.72,83,220,88,1,19.1430527,NBA,2.26,6.28,8.05,34.98,3
Seth-Curry,1,2,65.15,105.17,107.96,91,2009,35,34,36.5,0.418,2.91,0.347,3.4,0.832,0.66,3.69,2.23,1.37,0.26,1.51,2.26,20.26,1,0,0.353,0.99,0.61,0.24,23,12,0.657,3.84,1.84,5.69,0.544,0.505,29.57,159.69,2.23,1.21,110.7,100.4,21.78,74,185,76,4,22.77344285,NBA,1.13,0.18,1.31,27.33,5
Evan-Turner,2,1,64.64,117.53,92.54,103,2010,31,31,35.8,0.52,0.65,0.364,4.45,0.754,2,7.16,5.97,1.77,0.9,2.77,4.39,20.39,16,2,0.498,1.36,0.4,0.4,26,5,0.839,4.22,3.09,7.31,0.582,0.542,32.75,163.75,1.17,1.39,112.2,87.4,28.18,79,220,80,3,21.59342916,NBA,0.69,5.05,4.48,23.46,3
Sherron-Collins,1,1,67.19,114.5,90.67,54,2009,35,35,35.1,0.434,2.2,0.376,3.77,0.795,0.54,2.34,4.89,1.09,0,1.91,3.29,18.89,1,0,0.42,1.49,0.33,0.32,27,8,0.771,3.7,1.85,5.55,0.551,0.508,28.63,160.46,0.08,1.27,111.3,99.8,19.24,71,205,74.5,4,23.20602327,NBA,0.2,0.03,0.16,4.1,4
Myles-Mack,1,1,63.07,107.52,101.45,72,2013,31,29,30.3,0.48,1.97,0.462,2.42,0.882,0.32,2.32,2.68,1.81,0.06,1.65,1.84,13.61,0,0,0.303,1.46,0.98,0.29,15,16,0.484,3.25,1,4.25,0.624,0.582,21.94,182.43,0.18,1.42,121.5,102.2,21.61,69,170,74,4,22.26146475,International,0,0,0,0,5
