Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Chris-Quinn,1,1,64.23,117.35,101.38,69,2006,29,29,40,0.45,2.41,0.419,3.28,0.872,0.83,2.93,6.45,1.55,0.1,2.1,2.66,17.69,2,0,0.481,2.43,0.58,0.28,15,14,0.517,4.5,0.92,5.42,0.585,0.54,23.15,174.03,4.21,1.33,122.9,107.4,20.91,74,175,77.25,4,22.67761807,NBA,3.31,1.35,4.66,26.91
Ahmad-Nivins,2,2,63.91,105.73,99.02,24,2009,32,32,39.3,0.612,0,0,6.34,0.787,3.94,7.88,1,0.81,1.75,2.19,2.72,19.16,22,0,0.313,0.37,0.3,0.77,17,15,0.531,4.95,2.44,7.39,0.67,0.612,22.8,139.88,5.3,1.83,124.9,95.5,26.16,81,207,84.75,4,22.30527036,International,0,0,0,0
Luis-Flores,1,2,68.08,105.48,95.43,168,2003,30,30,38.9,0.455,1.87,0.386,7.37,0.902,1.63,4,2.9,1.93,0.37,2.3,3.27,24.63,3,0,0.411,0.89,0.59,0.48,23,7,0.767,4.96,1.85,6.81,0.592,0.51,30.57,174.3,3.53,1.45,118,98.5,26.39,74,205,79.5,4,23.14031485,NBA,0.11,0.02,0.13,44.54
Kee-Kee-Clark,1,2,67.8,108.09,108.6,172,2004,29,28,38.8,0.415,3.86,0.38,6.79,0.838,1,3.28,4.31,1.76,0.14,1.97,3.38,26.72,3,0,0.49,1.28,0.52,0.42,17,12,0.586,4.68,0.88,5.56,0.575,0.514,32.87,163.25,1.28,1.38,117.9,109.7,26.24,71,185,74.5,4,21.64544832,International,0,0,0,0
Cat-Barber,1,1,67.66,114.14,103.7,36,2016,33,33,38.7,0.434,1.3,0.361,7.18,0.865,0.64,3.94,4.45,0.64,0.06,2.15,2.58,23.52,1,0,0.456,1.73,0.25,0.48,16,17,0.485,5.07,0.6,5.67,0.553,0.471,29.96,165.99,1.03,1.36,119.4,111.6,22.81,73,173,77.5,3,21.85352498,International,0,0,0,0
Deonte-Burton,1,2,63.4,109.5,107.29,345,2014,32,32,38.7,0.473,1.53,0.316,5.12,0.742,0.38,3.84,4.44,1.5,0.53,2.22,2,20.16,1,0,0.45,2.22,0.75,0.48,15,17,0.469,4.52,0.9,5.42,0.574,0.526,26.76,153.09,2.55,1.41,121,109.7,23.52,73,190,79,4,22.85010267,International,0,0,0,0
Vincent-Council,1,1,65.24,110.07,105.98,71,2012,31,31,38.7,0.391,0.94,0.293,3.06,0.674,0.97,3.1,7.45,1.26,0.35,2.42,3.52,15.87,9,0,0.552,2.12,0.36,0.3,15,16,0.484,2.37,0.47,2.84,0.457,0.421,27.41,135.73,3.89,1.04,100.3,107.1,16.84,74,180,77.5,4,22.62833676,International,0,0,0,0
Troy-Bell,1,1,68.16,117.7,104.4,29,2003,31,31,38.6,0.441,3.42,0.402,7.32,0.847,1.55,3.03,3.71,2.26,0.23,2.13,2.55,25.19,0,0,0.39,1.46,0.89,0.53,19,12,0.613,6.3,1.02,7.31,0.615,0.545,28.55,168.95,0.19,1.54,128.7,105.9,26.8,73,180,77,4,22.55441478,NBA,0.24,0.04,0.2,4.83
Jared-Dudley,3,1,64.26,117.27,101.09,29,2007,30,30,38.4,0.562,1.3,0.443,4.73,0.743,3.03,5.23,3,1.4,0.33,2.2,2.6,19.03,10,0,0.381,1.15,0.54,0.55,19,11,0.633,5.05,1.42,6.47,0.652,0.618,23.18,174.86,1.6,1.65,128.5,103.3,25.52,79,225,79,4,21.89185489,NBA,5.8,2.27,8.08,27.22
Kevin-Jones,3,1,63.97,111.41,97.86,77,2012,33,33,38.4,0.509,1.03,0.266,3.12,0.78,4.27,6.64,1.24,0.7,1.03,1.24,1.27,19.91,21,0,0.359,0.98,0.55,0.26,19,14,0.576,5.95,1.64,7.58,0.573,0.542,24.5,155.47,1.21,1.29,127.3,98.2,27.39,80,260,85.5,4,22.76796715,NBA,0.05,0.08,0.13,11.18
